Publication_id,Cell_viability,Concentration_µg/ml,SiO$_{2}$NP_medium_serum,Cell_morphology,Cell_organ,Primary_size_nm,Cell_id,Exposure_time_h,Surface_modification,Hydrodynamic_size_water_nm,Cell_source,Assay_viability,Surface_area_m2/g,Viability_indicator,Primary_size_verification,Exposure_medium,Zeta_potential_water_mV,Hydrodynamic_size_culture_nm,SiO$_{2}$NP_synthesis,Positive_control_inducer,Hydrodynamic_size_serum_nm,PDI_water,Interference_testing,Viability_mechanism,Cell_disease,SiO$_{2}$NP_source,Positive_control,Cell_culture,Zeta_potential_PBS/HBSS_mV,Surface_charge_culture,Zeta_potential_serum_mV,Zeta_potential_culture_mV,Cell_age,PDI_culture,Surface_charge_water,SiO$_{2}$NP_label,SiO$_{2}$NP_shape
1,Non_cytotoxic,50,15%_FBS,endothelial,skin,14,HDMEC,72,unmodified,not_determined,human,MTS,194.8051948,tetrazolium ,not_verified,ECBM,not_determined,not_determined,high_temperature,not_available,not_determined,not_determined,not_performed,Cellular_metabolism,non_carcinoma,commercial,not_included,primary,not_determined,not_determined,not_determined,not_determined,non_embryonic,not_determined,negative,none,sphere
1,Non_cytotoxic,5,15%_FBS,endothelial,skin,14,HDMEC,72,unmodified,not_determined,human,MTS,194.8051948,tetrazolium ,not_verified,ECBM,not_determined,not_determined,high_temperature,not_available,not_determined,not_determined,not_performed,Cellular_metabolism,non_carcinoma,commercial,not_included,primary,not_determined,not_determined,not_determined,not_determined,non_embryonic,not_determined,negative,none,sphere
2,Non_cytotoxic,10,10%_FBS,epithelial,lung,60,A549,24,unmodified,not_determined,human,LDH,45.45454545,LDH,verified,DMEM,not_determined,not_determined,low_temperature,Triton_X-100,not_determined,not_determined,not_performed,Structural_cell_damage,carcinoma,in_house,included,cell_line,not_determined,not_determined,not_determined,not_determined,non_embryonic,not_determined,negative,none,sphere
2,Non_cytotoxic,50,10%_FBS,epithelial,lung,60,A549,24,unmodified,not_determined,human,LDH,45.45454545,LDH,verified,DMEM,not_determined,not_determined,low_temperature,Triton_X-100,not_determined,not_determined,not_performed,Structural_cell_damage,carcinoma,in_house,included,cell_line,not_determined,not_determined,not_determined,not_determined,non_embryonic,not_determined,negative,none,sphere
2,Non_cytotoxic,100,10%_FBS,epithelial,lung,60,A549,24,unmodified,not_determined,human,LDH,45.45454545,LDH,verified,DMEM,not_determined,not_determined,low_temperature,Triton_X-100,not_determined,not_determined,not_performed,Structural_cell_damage,carcinoma,in_house,included,cell_line,not_determined,not_determined,not_determined,not_determined,non_embryonic,not_determined,negative,none,sphere
2,Non_cytotoxic,200,10%_FBS,epithelial,lung,60,A549,24,unmodified,not_determined,human,LDH,45.45454545,LDH,verified,DMEM,not_determined,not_determined,low_temperature,Triton_X-100,not_determined,not_determined,not_performed,Structural_cell_damage,carcinoma,in_house,included,cell_line,not_determined,not_determined,not_determined,not_determined,non_embryonic,not_determined,negative,none,sphere
2,Non_cytotoxic,10,10%_FBS,epithelial,lung,100,A549,24,unmodified,not_determined,human,LDH,27.27272727,LDH,verified,DMEM,not_determined,not_determined,low_temperature,Triton_X-100,not_determined,not_determined,not_performed,Structural_cell_damage,carcinoma,in_house,included,cell_line,not_determined,not_determined,not_determined,not_determined,non_embryonic,not_determined,negative,none,sphere
2,Non_cytotoxic,50,10%_FBS,epithelial,lung,100,A549,24,unmodified,not_determined,human,LDH,27.27272727,LDH,verified,DMEM,not_determined,not_determined,low_temperature,Triton_X-100,not_determined,not_determined,not_performed,Structural_cell_damage,carcinoma,in_house,included,cell_line,not_determined,not_determined,not_determined,not_determined,non_embryonic,not_determined,negative,none,sphere
2,Non_cytotoxic,100,10%_FBS,epithelial,lung,100,A549,24,unmodified,not_determined,human,LDH,27.27272727,LDH,verified,DMEM,not_determined,not_determined,low_temperature,Triton_X-100,not_determined,not_determined,not_performed,Structural_cell_damage,carcinoma,in_house,included,cell_line,not_determined,not_determined,not_determined,not_determined,non_embryonic,not_determined,negative,none,sphere
2,Non_cytotoxic,200,10%_FBS,epithelial,lung,100,A549,24,unmodified,not_determined,human,LDH,27.27272727,LDH,verified,DMEM,not_determined,not_determined,low_temperature,Triton_X-100,not_determined,not_determined,not_performed,Structural_cell_damage,carcinoma,in_house,included,cell_line,not_determined,not_determined,not_determined,not_determined,non_embryonic,not_determined,negative,none,sphere
2,Non_cytotoxic,10,10%_FBS,monocyte,blood,60,THP-1,24,unmodified,not_determined,human,LDH,45.45454545,LDH,verified,DMEM,not_determined,not_determined,low_temperature,Triton_X-100,not_determined,not_determined,not_performed,Structural_cell_damage,carcinoma,in_house,included,cell_line,not_determined,not_determined,not_determined,not_determined,non_embryonic,not_determined,negative,none,sphere
2,Non_cytotoxic,50,10%_FBS,monocyte,blood,60,THP-1,24,unmodified,not_determined,human,LDH,45.45454545,LDH,verified,DMEM,not_determined,not_determined,low_temperature,Triton_X-100,not_determined,not_determined,not_performed,Structural_cell_damage,carcinoma,in_house,included,cell_line,not_determined,not_determined,not_determined,not_determined,non_embryonic,not_determined,negative,none,sphere
